Blueprint	Name	Description	Grouping	Category	Family	Classification	Heavy	Two Handed	Min Damage	Max Damage	Armor Pen	Dodge Reduction	Extra Hit Chance	Rate of Fire	Recoil	Max Range	Ammo	Attack 1	Type	Cost	GFX	On Hit	Attack 2	Type	Cost	GFX	On Hit	Attack 3	Type	Cost	GFX	On Hit	Attack 4	Type	Cost	GFX	On Hit	Attack 5	Type	Cost	GFX	On Hit	Sources	Extra Facts
AOO_OmnissiahAxe_Item	[C-Delphim Pattern] Omnissian Axe	This axe uses <b>Brutal Strike</b> for {g|Encyclopedia:AttackOfOpportunityFullGlossary}attacks of opportunity{/g}.	Axe	Melee	Power	false	false	true	16	24	40	0	0	0	0	1	-1	MeleeAttack_ability	SingleShot	1	MacesMeleeAttack_AbilityFXSettings		OmnissiahAxeTwoHandedAxe_Ability	AOE	2	GreatSword_AOE_AbilityFXSettings		Axe_BleedAbility	SingleShot	2	MacesMeleeAttack_AbilityFXSettings	Axe_BleedAbilityAdditionalEffect		None					None				Unit - ExportedPregens: Pascal35Yremeris_ExportedPregen, Unit - ExportedPregens: PasqalCompanionOverseer_Level38, Unit - ExportedPregens: PasqalCompanion_Level29_ExportedPregen, Unit - ExportedPregens: PasqalCompanion_lvl38_treasureworld_ExportedPregen, Unit - ExportedPregens: pasqual_lv38_chordafight_ExportedPregen, Unit - ExportedPregens: Yanus19Pascal_ExportedPregen, Chest - Test: TestRaritiesLoot, Vendor - ExploratorChapter2_VendorTable_Base 26PF	WeaponSkill15_Feature	Bleeding_Power6_ForWeapon_Feature
AccursedCrozius_Item			Axe	Melee	Primitive	false	false	true	15	20	25	0	0	0	0	1	-1	MeleeAttack_ability	SingleShot	1	Axe_AbilityFXSettings		TwoHandedAxeAoEAbility	AOE	2	Axe_AbilityFXSettings		Axe_BleedAbility	SingleShot	2	Axe_AbilityFXSettings	Axe_BleedAbilityAdditionalEffect		None					None				Unit - Ch02_ForgeWorldAndHeart: DarkApostleMob	AccursedCrozius_Feature
AeldariScout_LongRifle_Item		Grants +5 {g|Encyclopedia:MovementPoints}MP{/g} after each attack and allows the wielder to move after attacking. If an attack with this weapon {g|Encyclopedia:HitSequenceGlossary}hits{/g} 3 or more targets, this attack has no {g|Encyclopedia:Cooldown}cooldown{/g}.\nThis rifle has +100% {g|Encyclopedia:OverpenetrationFullGlossary}overpenetration{/g}.	Rifle	Basic	Laser	false	false	true	30	45	35	30	20	1	0	36	10	AeldariScoutLongRifle_SingleShot_Ability	SingleShot	1	LongrifleEnergyBolt_Shot_AbilityFXSettings		AeldariScoutLongRifle_PreciseShot_Ability	Custom	2	LongrifleEnergyBolt_Shot_AbilityFXSettings		ReloadAbility	Reload	3	LongrifleEnergyBolt_Shot_AbilityFXSettings			None					None				Unit - Ch04_Quetza-al_Khet: Quetza-al_Yrliet, Unit - ExportedPregens: 4y6_Yrliet_41lvl_ExportedPregen_ExportedPregen, Unit - ExportedPregens: Sayonara_39lvl_RT_ExportedPregen, Chest - Test: TestRaritiesLoot	LaserCoverReduce_Feature	AeldariScout_LongRifle_Feature	SniperRifle_CritDamage_Feature
AncientForceSword_Item	Ancient Force Sword	Whenever the wielder suffers energy, fire, power, or warp damage, this sword absorbs a part of that damage, reducing it by −{uip|Damage|3ccf46b177184d7b886568fa5451c43b}%. The wielder gains +{uip|Range|3ccf46b177184d7b886568fa5451c43b}% armour penetration for their next attack. Stacks.	ForceSword	Melee	Force	Sword	false	false	14	20	30	0	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	AncientForceSword_AbilityFXSettings		OneHandedSword_AoEAbility	AOE	2	AncientForceSword_AbilityFXSettings		SwordsMeleeAttack_ForceAbility	Custom	2	AncientForceSword_AbilityFXSettings			None					None				Unit - Ch05_Epitaph: Ch05Inquisitor_Heinrix_unit, Unit - Ch05_Epitaph: Ch05Inquisitor_Melee_unit, Unit - ExportedPregens: 4y6_Heinrix_22lvl_ExportedPregen, Unit - ExportedPregens: HeinrixCompanion_level27_VasyaParty_ExportedPregen, Unit - ExportedPregens: HeinrixCompanion_Level29_ExportedPregen, Unit - ExportedPregens: HeinrixCompanion_Level47_ExportedPregen, Unit - ExportedPregens: Heinrix_level47_Gamescom2024_ExportedPregen, Unit - ExportedPregens: Henrix35Yremeris_ExportedPregen, Chest - Test: TestRaritiesLoot, Chest - CR0: KhraveRuinsPuzzle01	Parry10_Feature	ForceSword_Feature	AncientForceSword_Feature
AnnihilatorAstartesBolter_Item	Annihilating Astartes Bolter	Each critical {g|Encyclopedia:HitSequenceGlossary}hit{/g} with this bolter increases {g|Encyclopedia:CritChancesAndCritDamageGlossary}critical damage{/g} by +10% until the end of combat.	Bolter	Basic	Bolt	false	false	true	30	45	25	0	0	3	25	24	15	SingleShot_Ability	SingleShot	1	Bolter_BoltShot_AbilityFXSettings		BurstFire_Ability	Burst	2	Bolter_BoltShot_AbilityFXSettings		ReloadAbility	Reload	3	Bolter_BoltShot_AbilityFXSettings			None					None				Vendor - ExploratorChapter4_VendorTable_Base 160PF	AnnihilatorAstartesBolter_Feature
AntiVechicle_StubRevolver_Item	Anti-Vehicle Revolver	On a successful {g|Encyclopedia:HitSequenceGlossary}hit{/g}, the shot explodes, dealing 20 {g|Encyclopedia:ImpactDamage}impact damage{/g} to everyone in the {g|Encyclopedia:AreaOfEffect}area of effect{/g} around the target.	Pistol	Pistol	Solid	false	false	false	20	33	45	0	0	3	15	12	6	SingleShot_PistolAbility	SingleShot	1	SolidProjectile_Shot_AbilityFXSettings		BurstFire_PistolAbility	Burst	1	SolidProjectile_Shot_AbilityFXSettings		ReloadAbility	Reload	1	SolidPistolProjectile_Shot_AbilityFXSettings			None					None				Unit - Ch05_Epitaph: RTNeutral, Unit - Ch05_Epitaph: RTNeutralFemale, Vendor - PirateChapter4_VendorTable_Base 87PF	AntiVechicle_StubRevolver_Feature	SolidProjectileWeapon_Feature
AnverChainSword_Item	Anver Chainsword	When {g|Encyclopedia:HitSequenceGlossary}hit{/g} by this weapon, the target suffers a −5% {g|Encyclopedia:Penalty}penalty{/g} to {g|Encyclopedia:WarhammerArmourGlossary}armour{/g}. Stacks.	ChainSword	Melee	Chain	Sword	false	false	12	16	15	0	0	0	0	1	-1	SwordsMeleeAttack_Ability	SingleShot	1	ChainSword_AbilityFXSettings		OneHandedSword_AoEAbility	AOE	2	ChainSword_AbilityFXSettings	AnwerChainSword_AbilityAdditionalEffect		None					None					None				Unit - Ch02_FootFallSlums: FootfallAnverCommanderLeader_Melee_Elite, Unit - Ch02_FootFallSlums: FootfallAnverCommanderLeader_Melee_EliteQS, Unit - ExportedPregens: AbelardCompanion_level27_VasyaParty_ExportedPregen, Unit - ExportedPregens: AbelardCompanion_Level42_OlegParty_ExportedPregen, Unit - ExportedPregens: CassiaCompanion_Level47_ExportedPregen, Unit - ExportedPregens: Kibellah20lvl_ExportedPregen, Unit - ExportedPregens: Kibellah32lvl_ExportedPregen, Unit - ExportedPregens: PlayerRT19Chapel_ExportedPregen, Unit - ExportedPregens: Yanus19RTT_ExportedPregen, Unit - ExportedPregens: zin_22_AbelardCompanion_ExportedPregen	Parry10_Feature	AnverChainSword_Feature	ChainCritDamage50_Feature
ArbitesFoehammer_Item	Advanced Adeptus Arbites Foehammer	<i>Shotguns knock enemies back when shot at {g|Encyclopedia:Range}effective range{/g}.</i>	Shotgun	Pistol	Solid	Shotgun	false	false	33	40	15	0	0	1	0	6	6	ShotgunFoehammer_ScatterAbility	AOE	1	Shotgun_Shot_AbilityFXSettings		ReloadAbility	Reload	1				None					None					None				Unit - DLC2_CH01TaintedStreets: TaintedStreets_ArbitesShield_NPC, Unit - DLC2_Ch04_TreasureWorld: TreasureWorld_Arbites_ShieldNShotgun, Unit - Ch01_CommandCenter: CommandCenter_Arbiter_SnieldNPistol	ShotgunPush_Feature	SolidProjectileWeapon_Feature
ArcRifleCH4Unique_Item	Corpuscarii Oath	Enemies that are {g|Encyclopedia:HitSequenceGlossary}hit{/g} by this weapon suffer an irradiated effect that lasts for 3 {g|Encyclopedia:Turn}turns{/g}, decreasing all healing received by −50%. Also prevents using <b>Reanimation Protocol</b> for 3 {g|Encyclopedia:Round}rounds{/g}.	Arc	Basic	Exotic	SniperRifle	false	true	30	40	25	0	0	1	0	20	4	SingleShot_Ability	SingleShot	1	ArcRifle_AbilityFXSettings	ArcRifleChain_AbilityAdditionalEffect	ReloadAbility	Reload	3				None					None					None				Chest - CR0: Forest_SslythSkinLoot	ArcRifleCH4Unique_Feature
ArcRifleT1CH2_Item	[Mezoa-Pattern] Arc Rifle	Whenever the wielder {g|Encyclopedia:HitSequenceGlossary}hits{/g} a target with the arc rifle, they also attack all targets within 2 cells of the main target.	Arc	Basic	Exotic	SniperRifle	false	true	13	20	30	0	0	1	0	18	4	SingleShot_Ability	SingleShot	2	ArcRifle_AbilityFXSettings	ArcRifleChain_AbilityAdditionalEffect	ReloadAbility	Reload	3	ArcRifle_AbilityFXSettings			None					None					None				Unit - Ch02_ForgeWorldAndHeart: HeretekLogi, Unit - Ch05_ArcShip: ImmortalSkitariiAlpha_ArcShip, Unit - ExportedPregens: Sayonara_23_Cassia_ExportedPregen, Vendor - ExploratorChapter2_VendorTable_Base 55PF	
