Blueprint	Name	Description	Grouping	Category	Family	Classification	Heavy	Two Handed	Min Damage	Max Damage	Armor Pen	Dodge Reduction	Extra Hit Chance	Rate of Fire	Recoil	Max Range	Ammo	Attack 1	Type	Cost	GFX	On Hit	Attack 2	Type	Cost	GFX	On Hit	Attack 3	Type	Cost	GFX	On Hit	Attack 4	Type	Cost	GFX	On Hit	Attack 5	Type	Cost	GFX	On Hit	Sources	Extra Facts
AstartesChainsword_Item	Astartes Chainsword	This chainsword grants +10% critical {g|Encyclopedia:HitSequenceGlossary}hit chance{/g}.	Other						25	39																																	Chest - Prison: Drukhari_PrisonPitOwnChest01, Unit - Ch02_ForgeWorldAndHeart: FriendlySpacewolfMarine_Pistol, Unit - Ch02_ForgeWorldAndHeart: RegindSpacewolfMarine_Melee, Unit - Ch04_Eufrates: Halbrandt_MeleeRanged_UlfarQuest, Unit - SpaceMarineFight: Spacemarine_axe, Unit - ExportedPregens: Sayonara_39lvl_Ulfar_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Lvl40_Bakula_ExportedPregen	
RitualKnife_Item	Ritual Knife	This knife has a 100% critical {g|Encyclopedia:HitSequenceGlossary}hit chance{/g} against {g|Encyclopedia:ProneEffect}prone{/g} or {g|Encyclopedia:Stun}stunned{/g} targets.\nWhen the wielder scores a {g|Encyclopedia:CritChancesAndCritDamageGlossary}critical hit{/g} with this knife, the target and everyone in a 4-cell radius around it must pass a {g|Encyclopedia:WarhammerWillpower}Willpower{/g} {g|Encyclopedia:ResistanceTest}resistance test{/g} or make a single attack against the nearest target.	Other			Knife			41	61	25	70																															Unit - Ch02_ForgeWorldAndHeart: Kunrad_FH, Unit - Ch04_Eufrates: Eufrates_Kunrad_unit	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
Chapter4_Unique_GoldenOpportunityKnife_Item	Death Hymn	Whenever the wielder kills an enemy with this knife for the first time in a {g|Encyclopedia:Turn}turn{/g}, they immediately use {g|f:c647c1c4a1a14c9cb31217ee439164ff}War Hymn{/g}, which does not provoke {g|Encyclopedia:AttackOfOpportunityFullGlossary}attacks of opportunity{/g}.	Other			Knife			34	54	25																																Chest - TreasureWorld: Loot_Quest_FeralGuard_Peaks_Loot	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
HekatariiBladeT2CH04_Item	Sharpened Hekatarii Blade		Other						36	50	30	60																															Unit - Ch04_HaemonculusLab: DrukhariWrack_MeleeRanged_Lab01, Unit - Ch04_HaemonculusLab: DrukhariWrack_MeleeRanged_Lab01_TiP, Unit - Ch04_HaemonculusLab: DrukhariWrack_MeleeRanged_Lab02, Unit - Ch04_HaemonculusLab: DrukhariWrack_MeleeRanged_Lab02_TiP, Unit - ExportedPregens: MarazhaiCompanion_Level39_SolarParty_ExportedPregen	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
ArenaGlimmersteelBladeItem	Serrated Glimmersteel Blade	Each successful attack with this weapon increases the {g|Encyclopedia:DamageGlossary}damage{/g} of the {g|Encyclopedia:BleedingEffect}bleeding{/g} effect suffered by a target by +3.	Other						21	35	20																																Chest - Prison: Drukhari_PrisonPitOwnChest01, Unit - HeinrixCompanion: FighterPsykerQA_AllDoTs, Vendor - PitBossChapter3_VendorTable_Base 0PF	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
AstartesCombatKnife_Item	Astartes Combat Knife	If an attack with this knife kills the target, the wielder restores +1 {g|Encyclopedia:ActionPoints}AP{/g} and can make an additional attack with this knife.	Other			Knife			36	60																																	Chest - Test: TestRaritiesLoot, Unit - Ch02_ForgeWorldAndHeart: HalbrandtSpacewolfMarine_WarCouncilKTC, Unit - Ch03_CommorraghArena: CommorraghArenaUlfar1stFight, Unit - ExportedPregens: UlfarCompanion_Level37_TesseraParty_ExportedPregen, Unit - ExportedPregens: UlfarCompanion_Level37_ValladinParty_ExportedPregen, Unit - UlfarCompanion: UlfarCompanion, Unit - UlfarCompanion: UlfarCompanion_GrandSpecticleNPC	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
HekatariiBloodthirstBlade_Item	Hekatarii Blade of Bloodthirst	This blade deals an additional +{uip|Damage|0e45284b27f74feb9993195c1ab8933a} {g|Encyclopedia:DamageGlossary}damage{/g} to targets for each common {g|Encyclopedia:NegativeEffectTypesGlossary}negative effect{/g} on them.	Other						21	33	30																																Unit - Ch03_CommorraghArena: DrukhariProselyte_Ranged_Portals_Elite, Unit - ExportedPregens: Kibellah32lvl_ExportedPregen, Unit - ExportedPregens: Kibellah35lvl_ExportedPregen	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
GlimmersteelBladeItem	Glimmersteel Blade	Attacks with the glimmersteel blade inflict {g|Encyclopedia:BleedingEffect}bleeding{/g} (4) if the target fails a {g|Encyclopedia:WarhammerToughness}Toughness{/g} {g|Encyclopedia:ResistanceTest}resistance test{/g}.	Other						20	32																																	Unit - Ch03_ReavingTempestSpire: Mandrake, Vendor - HaemunculiChapter3_VendorTable_Base 0PF	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
PoisonedHekatariiBladeT2_Item	Fine-Edged Poisoned Hekatarii Blade		Other						19	32																																	Unit - Ch03_CommorraghArena: DrukhariWych_MeleeRanged_ArenaFiend	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
HekatariiBladeT2_Item	Fine-Edged Hekatarii Blade		Other						18	31																																	Unit - Ch03_CommorraghArena: DrukhariBeastmaster_MeleeRanged_ArenaFiend, Unit - Ch03_CommorraghArena: DrukhariProselyte_Melee_Portals, Unit - Ch03_Prison: DrukhariWarrior_Melee_Prison, Unit - Ch03_ReavingTempestSpire: DrukhariWych_ReavingTempestSpire_unit	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
GenestealerDagger_Item	Bio-Dagger	Each attack with this dagger increases its damage by +1 until the end of the combat. Stacks.	Other			Knife			18	24	15																																Chest - VoidshipCryptArena: Iloot_loot_object_Good (2)	SniperRifle_CritDamage_Feature	Dagger_ArmorPen_Feature
